,name,cost,level,quantity,total_time,nb_of_ingredients,length_ingredients,beurre,oignon,oeuf,type
0,clafoutis aux abricots,1,1,4,60,7,132,60,No,4,Dessert
1,Gigot d'agneau à l'ail et au romarin,1,2,6,55,6,144,0,No,0,Plat principal
2,Ailerons de poulet confits au miel,2,1,4,65,10,227,0,No,0,Plat principal
3,Tuiles aux amandes,3,2,4,25,5,117,35,No,2,Dessert
4,Financiers au bon goût d'amande,1,1,15,30,6,165,100,No,4,Dessert
5,Tiramisu à l'ananas,1,1,8,15,6,143,0,No,2,Dessert
6,Gâteau à l'ananas facile,1,2,8,60,10,223,150,No,4,Dessert
7,Poulet coco ananas,1,1,4,25,7,153,0,Yes,0,Plat principal
8,Tartinade d'artichauts,1,1,4,20,8,226,0,No,0,Amuse-gueule
9,Artichauts cathares,1,1,4,25,8,145,0,Yes,2,Entrée
10,Artichauts à la barigoule,3,2,4,70,10,220,0,Yes,0,Plat principal
11,Penne aux artichauts,2,1,2,30,11,312,1,Yes,0,Plat principal
12,Crème d'asperges en verrines,1,2,8,30,7,129,0,No,1,Amuse-gueule
13,Aubergine à la parmesane,2,1,2,75,3,79,0,No,0,Plat principal
14,Lasagnes d'aubergines,3,2,4,100,12,268,25,Yes,0,Plat principal
15,Verrine avocat-truite fumée,1,1,4,15,7,178,0,No,1,Entrée
16,Avocats Fourrés,1,1,4,20,5,89,0,No,2,Entrée
17,Velouté d'avocat,2,1,4,25,10,234,0,No,0,Entrée
18,Cassolette d'avocat,1,1,4,15,5,125,0,No,0,Plat principal
19,Poisson Badiane,2,1,2,30,12,324,0,Yes,0,Plat principal
20,Canard à la badiane,1,2,4,35,11,306,20,Yes,1,Plat principal
21,Crèmes brûlées à la badiane,2,1,6,45,4,85,0,No,3,Dessert
22,Crème à la badiane et à la cannelle,2,1,5,75,7,157,0,No,2,Dessert
23,Crème Anglaise à la badiane,3,1,4,30,5,114,0,No,4,Sauce
24,Cake aux bananes,2,1,4,75,9,201,100,No,3,Dessert
25,Muffins à la banane,1,1,6,30,8,198,70,No,1,Dessert
26,Rillettes de thon au basilic,1,1,4,15,9,213,0,No,0,Entrée
27,comment conserver le basilic,1,1,1,10,1,6,0,No,0,Conseil
28,Velouté froid de betteraves,1,1,4,35,9,172,0,No,0,Entrée
29,Conserve de betterave,2,1,4,110,3,40,0,No,0,Accompagnement
30,Confiture de betterave,1,1,4,55,4,80,0,No,0,Confiserie
31,Roulades de betteraves,3,1,4,15,5,114,0,No,0,Plat principal
32,tarte aux blettes,2,1,1,65,12,267,0,Yes,1,Entrée
33,Sauce aux blettes,2,1,4,40,6,127,0,No,0,Sauce
34,Blettes à la crème,1,1,4,100,6,103,0,No,0,Plat principal
35,Quiche aux blettes,2,1,4,75,6,137,0,No,3,Entrée
36,Penne aux blettes,1,1,2,30,9,158,0,No,0,Plat principal
37,Cordon bleu,1,1,4,18,7,195,20,No,1,Plat principal
38,Bleu d'azur,1,3,1,3,3,68,0,No,0,Boisson
39,Poulet au bleu,2,1,2,25,9,207,10,No,0,Plat principal
40,Parmentier bleu,1,1,4,50,10,191,100,Yes,1,Plat principal
41,Boeuf Bourguignon rapide,1,2,6,70,11,245,50,Yes,800,Plat principal
42,Boeuf bourguignon,2,2,4,360,8,159,100,Yes,0,Plat principal
43,Velouté de brocolis,1,1,6,45,7,143,0,Yes,0,Entrée
44,Gratin de brocolis rapide,1,1,4,26,8,172,0,No,0,Accompagnement
45,Parmentier aux brocolis,1,1,4,30,8,144,0,Yes,0,Plat principal
46,Lasagnes aux brocolis,2,1,3,80,11,248,0,No,0,Plat principal
47,Velouté de butternut à la cannelle,2,1,4,35,5,128,0,Yes,0,Entrée
48,Accras de Butternut,3,1,20,97,12,246,0,Yes,1,Entrée
49,Butternut à la cannelle,1,1,3,80,4,77,100,No,0,Dessert
50,Crème de butternut,1,2,4,35,10,179,0,No,0,Entrée
51,Friture de carpe,2,1,4,80,6,157,0,No,0,Plat principal
52,Carpe au four,1,1,4,30,5,78,0,Yes,0,Plat principal
